,prompt_length,A_length,B_length,C_length,D_length,E_length
174,57,148,144,137,144,148
175,48,109,85,142,94,127
176,98,227,216,98,216,227
177,91,112,179,238,235,130
178,97,152,141,151,151,142
179,116,264,252,300,274,283
180,74,201,195,194,197,172
181,102,117,117,118,120,116
182,115,8,6,6,6,26
183,98,368,370,370,370,368
184,108,391,353,405,402,397
185,86,362,155,180,195,310
186,104,165,178,139,180,161
187,80,325,316,312,321,319
188,113,164,180,217,217,165
189,69,91,144,144,111,144
190,109,344,345,335,414,320
191,72,221,102,254,254,261
192,32,288,285,288,289,289
193,69,180,251,249,176,178
194,49,162,160,158,166,168
195,128,210,169,213,139,187
196,56,262,271,268,265,271
197,123,200,207,200,199,201
198,111,247,324,325,323,246
199,88,207,205,191,195,205
